permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-032681 BP,R- 101 Single Family Houses,New,5212 CORNFLOWER DR,3/26/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Active,3511,263325,1,LOT 14 BLK B GREYROCK RIDGE PHS 2,30.16905728,-97.88965483
2015-078462 BP,R- 101 Single Family Houses,New,5200 CORNFLOWER DR,6/30/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2248,168600,1,LOT 11 BLK B GREYROCK RIDGE PHS 2,30.1690624,-97.88914159
2015-031070 BP,R- 101 Single Family Houses,New,5104 ALLAMANDA DR,3/20/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,3422,256650,1,LOT 16 BLK A GREYROCK RIDGE PHS 2,30.16915798,-97.88878195
2015-018139 BP,R- 101 Single Family Houses,New,5513 ALLAMANDA DR,2/18/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3440,258000,1,LOT 2 BLK D GREYROCK RIDGE PHS 1,30.1693382,-97.8926906
2015-105606 BP,R- 101 Single Family Houses,New,5505 ALLAMANDA DR,9/2/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2437,182775,1,LOT 4 BLK D GREYROCK RIDGE PHS 1,30.16936066,-97.8923091
2015-045991 BP,R- 101 Single Family Houses,New,5301 ALLAMANDA DR,4/21/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,2258,169350,1,LOT 5 BLK B GREYROCK RIDGE PHS 1,30.16938841,-97.89001081
2015-049320 BP,R- 101 Single Family Houses,New,5305 ALLAMANDA DR,4/29/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3905,892875,1,LOT 4 BLK B GREYROCK RIDGE PHS 1,30.16938856,-97.89018457
2015-053247 BP,R- 101 Single Family Houses,New,5205 ALLAMANDA DR,5/6/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2329,174675,1,LOT 9 BLK B GREYROCK RIDGE PHS 1,30.16939013,-97.88932082
2015-046003 BP,R- 101 Single Family Houses,New,5209 ALLAMANDA DR,4/21/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,3511,263325,1,LOT 8 BLK B GREYROCK RIDGE PHS 1,30.16939229,-97.88949657
2015-142615 BP,R- 101 Single Family Houses,New,12916 PADUA DR,12/4/2015,"***11/30/15 need water taps**NOT VOLUME BUILDER**BRADLEY AGREEMENT**New 2-story single-family residence, attached garage, covered entry porch and patio",Active,4635,272775,1,ABS 98 SUR 65 BRITE T & VAR SURVEYS ACR 118.0472 (46.2282A IN TRAVIS CO) [1-D-1W],30.16963829,-97.90796205
2015-142620 BP,R- 101 Single Family Houses,New,12912 PADUA DR,12/4/2015,"***11/30/15 need water taps**NOT VOLUME BUILDER**BRADLEY AGREEMENT**New 2-story single-family residence, attached garage, covered entry porch and patio.",Active,4855,290325,1,ABS 98 SUR 65 BRITE T & VAR SURVEYS ACR 118.0472 (46.2282A IN TRAVIS CO) [1-D-1W],30.16983826,-97.90780592
2015-068041 BP,R- 101 Single Family Houses,New,5504 ALLAMANDA DR,6/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3277,245775,1,LOT 166 BLK A GREYROCK RIDGE PHS 1,30.16984191,-97.89232721
2015-023878 BP,R- 101 Single Family Houses,New,5308 ALLAMANDA DR,3/3/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,3507,263025,1,,30.16985992,-97.890373
2015-084269 BP,R- 101 Single Family Houses,New,12829 CRICOLI DR,7/14/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4861,364578,1,LOT 2 BLK G AVANA PHS 1 SEC 2,30.17013932,-97.91294927
2015-083193 BP,C- 329 Com Structures Other Than Bldg,New,9308 S 1ST ST,7/14/2015,New Construction of Swimming Pool,Active,2355,35000,0,LOT 1 BLK A LANDMARK SOUTHPARK,30.17027305,-97.80173833
2015-102753 BP,"C- 318 Amusement, Social & Rec Bldgs",New,9308 S 1ST ST,9/21/2015,New Pool Cabana for Multi-Family Res Apts,Active,324,15000,1,LOT 1 BLK A LANDMARK SOUTHPARK,30.17027305,-97.80173833
2015-087979 BP,R- 329 Res Structures Other Than Bldg,New,3508 FITZROY AVE,7/30/2015,Inground swimming pool w/ req'd enclosure device for existing 2 story SF res,Final,389,37000,0,Lot: 5 Block: V Subdivision: BAUERLE RANCH,30.17036207,-97.84789922
2015-011910 BP,R- 101 Single Family Houses,New,12813 CRICOLI DR,2/4/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony.",Final,4864,336450,1,LOT 6 BLK G AVANA PHS 1 SEC 2,30.17088753,-97.91257045
2015-143045 BP,R- 101 Single Family Houses,New,9509 TANAGER WAY,12/4/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,2404,230990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.17093975,-97.80863342
2015-104324 BP,R- 101 Single Family Houses,New,9510 TANAGER WAY,8/28/2015,"New 2-story Condominium Residence with attached garage, covered porch.**CONDOMINIUM RESIDENCE**",Active,2312,104473,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.1710319,-97.8095295
2015-144535 BP,R- 101 Single Family Houses,New,12808 PADUA DR,12/4/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio.",Active,3602,234600,1,,30.17115129,-97.90767403
2015-121027 BP,R- 101 Single Family Houses,New,9505 TANAGER WAY,10/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2401,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.17115177,-97.80856194
2015-050259 BP,R- 329 Res Structures Other Than Bldg,New,10901 PRATT LN,5/1/2015,Inground swimming pool w/ req'd enclosure device for existing 2 story SF res,Final,395,50000,1,Lot: 12 Block: V Subdivision: BAUERLE RANCH,30.17122976,-97.84795338
2015-050511 BP,R- 101 Single Family Houses,New,12805 CRICOLI DR,4/30/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** NOV written. 27""and 27.5"" Live Oaks in Front and Rt. side yard being impacted by construction activities. Impacts include root damage from compaction. Tree Protection Fence not properly installed or mulch in place per ECM 3.5.2 specs. Five Year Tree Care Plan (per ECM 3.5.4 specs.) to include root de compaction methods and a layer of Organic Compost. Tree Care Plan to be provided and implemented by a Certified Arborist and approved by the City Arborist. Re inspection required. Re inspection fee ($133.00) owed.",Active,4707,353025,1,LOT 8 BLK G AVANA PHS 1 SEC 2,30.17129349,-97.91252941
2015-086381 BP,R- 101 Single Family Houses,New,909 FIREBRANCH TRL,7/21/2015,"New 2-Story Condominium Residence with Attached Garage, Covered",Active,2707,111923,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.17130605,-97.80933216
2015-094144 BP,R- 101 Single Family Houses,New,907 FIREBRANCH TRL,8/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2348,104353,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.17130712,-97.80920437
2015-012525 BP,R- 101 Single Family Houses,New,901 FIREBRANCH TRL,2/4/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,2408,104849,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17130913,-97.80882239
2015-098926 BP,R- 101 Single Family Houses,New,903 FIREBRANCH TRL,8/18/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2707,111916,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17130935,-97.80895427
2015-123097 BP,R- 101 Single Family Houses,New,1011 COLD BEAR CV,10/13/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2412,114990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 13.0850,30.17135021,-97.81019876
2015-103590 BP,R- 101 Single Family Houses,New,12800 CRICOLI DR,9/14/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4611,345825,1,LOT 7 BLK H AVANA PHS 1 SEC 2,30.17137984,-97.91307767
2015-043693 BP,R- 329 Res Structures Other Than Bldg,New,12801 CRICOLI DR,4/20/2015,"Inground swimming pool w/ req'd enclosure device for existing 2 story SF res ***REVISION #1 (submitted 6/5/2015) -Move pool construction back 8 ft. from house, square footage will not change or impervious coverage.***",Active,519,76480,1,LOT 9 BLK G AVANA PHS 1 SEC 2,30.17146812,-97.91254561
2015-050509 BP,R- 101 Single Family Houses,New,6408 TRISSINO DR,4/30/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4790,359250,1,LOT 38 BLK A AVANA PHS 1 SEC 1,30.17151907,-97.90824431
2015-017453 BP,R- 101 Single Family Houses,New,6404 TRISSINO DR,2/18/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Final,3837,314850,1,LOT 37 BLK A AVANA PHS 1 SEC 1,30.17152269,-97.90802816
2015-112793 BP,R- 329 Res Structures Other Than Bldg,New,6412 TRISSINO DR,9/18/2015,Inground swimming pool & spa w/ req'd enclosure device for exisitng 2 story SF res,Active,455,76800,0,LOT 39 BLK A AVANA PHS 1 SEC 1,30.1715566,-97.90851915
2015-017900 BP,R- 101 Single Family Houses,New,6400 TRISSINO DR,2/19/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Active,5564,417300,1,LOT 36 BLK A AVANA PHS 1 SEC 1,30.17155701,-97.90773631
2015-034284 BP,R- 101 Single Family Houses,New,12720 CRICOLI DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony. **VOL BUILD PROJECT**",Active,4636,338700,1,LOT 6 BLK H AVANA PHS 1 SEC 2,30.17157661,-97.91308304
2015-033306 BP,R- 101 Single Family Houses,New,910 FIREBRANCH TRL,3/27/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,2408,104785,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17158632,-97.8093798
2015-065493 BP,R- 101 Single Family Houses,New,904 FIREBRANCH TRL,6/3/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2328,103879,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17159322,-97.80900318
2015-142971 BP,R- 101 Single Family Houses,New,9418 PRIVET DR,12/4/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,2407,221990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17159732,-97.80963504
2015-018627 BP,R- 101 Single Family Houses,New,900 FIREBRANCH TRL,2/20/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Final,2690,113059,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17159786,-97.8087544
2015-010867 BP,R- 101 Single Family Houses,New,6500 TRISSINO DR,2/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Final,4707,353025,1,LOT 41 BLK A AVANA PHS 1 SEC 1,30.17163582,-97.90899664
2015-028561 BP,R- 101 Single Family Houses,New,12721 CRICOLI DR,3/16/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** NOV written. 23""and 25"" Live Oaks in Front yard being impacted by construction activities. Impacts include root damage from compaction. Tree Protection Fence not properly installed or mulch in place per ECM 3.5.2 specs. Five Year Tree Care Plan (per ECM 3.5.4 specs.) to include root de compaction methods and a layer of Organic Compost. Tree Care Plan to be provided and implemented by a Certified Arborist and approved by the City Arborist. Re inspection required. Re inspection fee ($133.00) owed.",Active,4510,338250,1,LOT 10 BLK G AVANA PHS 1 SEC 2,30.17167916,-97.91259691
2015-103184 BP,R- 101 Single Family Houses,New,9411 TANAGER WAY,9/2/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2408,104178,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17168293,-97.80840298
2015-055537 BP,R- 101 Single Family Houses,New,12801 PADUA DR,5/11/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4197,314775,1,LOT 16 BLK A AVANA PHS 1 SEC 1,30.17168766,-97.90732345
2015-112579 BP,R- 101 Single Family Houses,New,9416 PRIVET DR,9/18/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2499,226990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17170595,-97.80963495
2015-092525 BP,R- 101 Single Family Houses,New,6504 TRISSINO DR,7/31/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4838,362850,1,LOT 42 BLK A AVANA PHS 1 SEC 1,30.17170686,-97.90921683
2015-060950 BP,R- 101 Single Family Houses,New,6508 TRISSINO DR,5/22/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,5252,393900,1,LOT 43 BLK A AVANA PHS 1 SEC 1,30.17177537,-97.90944005
2015-071659 BP,R- 101 Single Family Houses,New,9409 TANAGER WAY,6/16/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2112,95907,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17178543,-97.80837063
2015-056285 BP,R- 101 Single Family Houses,New,911 SLEEPY DELL LN,5/13/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,2720,111600,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1717985,-97.80930419
2015-094135 BP,R- 101 Single Family Houses,New,907 SLEEPY DELL LN,8/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2408,104353,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17180306,-97.80905128
2015-098752 BP,R- 101 Single Family Houses,New,905 SLEEPY DELL LN,8/17/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2111,96179,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17180778,-97.80892752
2015-053537 BP,R- 101 Single Family Houses,New,901 SLEEPY DELL LN,5/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2408,104079,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17181343,-97.80866908
2015-066772 BP,R- 101 Single Family Houses,New,12717 CRICOLI DR,6/4/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4758,356850,1,LOT 11 BLK G AVANA PHS 1 SEC 2,30.17186291,-97.91262318
2015-000114 BP,R- 101 Single Family Houses,New,9407 TANAGER WAY,1/5/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Final,2694,112099,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17189225,-97.80833981
2015-010877 BP,C- 329 Com Structures Other Than Bldg,New,2421 CHATEAU VILLAGE WAY,1/30/2015,New Construction pavilions to existing Mobile Park.,Expired,140,10400,0,Lot: Block: Subdivision: CHATEAU AT ONION CREEK,30.17194085,-97.76586786
2015-010878 BP,C- 329 Com Structures Other Than Bldg,New,2421 CHATEAU VILLAGE WAY,1/30/2015,New Construction pavilions to existing Mobile Park.,Expired,140,10400,0,Lot: Block: Subdivision: CHATEAU AT ONION CREEK,30.17194085,-97.76586786
2015-119447 BP,R- 329 Res Structures Other Than Bldg,New,12717 PADUA DR,10/2/2015,Inground swimming pool w/ req'd enclosure device for exisitng 2 story SF res,Active,450,30000,0,LOT 15 BLK A AVANA PHS 1 SEC 1,30.17194324,-97.90728843
2015-036782 BP,R- 101 Single Family Houses,New,12712 CRICOLI DR,4/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Active,4838,362850,1,LOT 4 BLK H AVANA PHS 1 SEC 2,30.17196645,-97.913135
2015-123546 BP,R- 101 Single Family Houses,New,6409 TRISSINO DR,10/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4707,353025,1,LOT 6 BLK B AVANA PHS 1 SEC 1,30.17200005,-97.90825835
2015-120942 BP,R- 101 Single Family Houses,New,9410 PRIVET DR,10/7/2015,"New 2-story Condominium Residence with attached garage, covered entry porch. **CONDOMINIUM RESIDENCE**",Active,2255,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17203538,-97.80963321
2015-035328 BP,R- 101 Single Family Houses,New,908 SLEEPY DELL LN,4/6/2015,"New 2-story Condominium Residence with attached garage, covered porch.",Active,2364,103032,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17211665,-97.80909392
2015-038773 BP,R- 101 Single Family Houses,New,906 SLEEPY DELL LN,4/9/2015,"New 2-story Condominium Residence with attached garage, covered porch.",Active,2690,113280,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17212373,-97.80896872
2015-121002 BP,R- 101 Single Family Houses,New,904 SLEEPY DELL LN,10/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,2289,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17212483,-97.80884229
2015-129900 BP,R- 101 Single Family Houses,New,902 SLEEPY DELL LN,10/28/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and covered patio. **CONDOMINIUM RESIDENCE**",Active,2412,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17212833,-97.80871718
2015-088086 BP,R- 329 Res Structures Other Than Bldg,New,12713 PADUA DR,7/23/2015,Inground swimming pool & spa w/ req'd enclosure device for exisitng 2 story SF res,Active,518,30000,0,LOT 14 BLK A AVANA PHS 1 SEC 1,30.17212834,-97.90727589
2015-143053 BP,R- 101 Single Family Houses,New,9408 PRIVET DR,12/4/2015,"***12/01/15 need water taps***New 2-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,2414,221990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17214755,-97.80963166
2015-013941 BP,R- 101 Single Family Houses,New,12708 CRICOLI DR,2/6/2015,"**VOL BUILD PROJECT** New 2-story single-family residence, attached garage, brick ledge, covered entry porch and rear patio.",Active,4198,314850,1,LOT 3 BLK H AVANA PHS 1 SEC 2,30.17215487,-97.91317144
2015-137874 BP,R- 101 Single Family Houses,New,6509 TRISSINO DR,12/4/2015,"***11/18/15 Need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4724,281325,1,LOT 2 BLK B AVANA PHS 1 SEC 1,30.1721939,-97.90922153
2015-052900 BP,R- 101 Single Family Houses,New,6513 TRISSINO DR,5/6/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,5206,390450,1,LOT 1 BLK B AVANA PHS 1 SEC 1,30.17227303,-97.90946226
2015-044911 BP,R- 329 Res Structures Other Than Bldg,New,12709 CRICOLI DR,4/21/2015,Inground swimming pool & spa w/ req'd enclosure device for exisitng 2 story SF res,Final,658,30000,1,LOT 13 BLK G AVANA PHS 1 SEC 2,30.17227985,-97.9126899
2015-129889 BP,R- 101 Single Family Houses,New,9405 PRIVET DR,10/28/2015,"New 2-story Condominium Residence with attached garage, covered entry porch. **CONDOMINIUM RESIDENCE**",Active,2255,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17230736,-97.80926067
2015-089708 BP,R- 101 Single Family Houses,New,9404 OCEAN GOING CT,7/27/2015,New 2-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,3033,244990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17231411,-97.80893764
2015-018137 BP,R- 101 Single Family Houses,New,12709 PADUA DR,2/18/2015,"New 2-story single-family residence, attached garage, covered porch, patio and balcony.",Active,5680,411525,1,LOT 13 BLK A AVANA PHS 1 SEC 1,30.17231725,-97.907283
2015-121219 BP,R- 101 Single Family Houses,New,9403 PRIVET DR,10/7/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2412,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17241712,-97.80925781
2015-089746 BP,R- 101 Single Family Houses,New,9402 OCEAN GOING CT,7/27/2015,New 2-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,3034,244990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17242512,-97.80893749
2015-142485 BP,R- 101 Single Family Houses,New,808 MISTY NEST CV,11/30/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,2434,230990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17242635,-97.80811153
2015-052696 BP,R- 101 Single Family Houses,New,12705 CRICOLI DR,5/5/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony. **VOL BUILD PROJECT**",Active,4995,374625,1,LOT 14 BLK G AVANA PHS 1 SEC 2,30.17245108,-97.91276277
2015-089276 BP,R- 101 Single Family Houses,New,9402 PRIVET DR,7/27/2015,New 2-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,2407,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17248053,-97.80962846
2015-131648 BP,R- 330  Accessory Use to Primary,New,2105 ALLRED DR,11/3/2015,"New manufactured home guest house.  2 bedroom, 2 baths.  8\' fence.",Active,1163,45000,0,LOT 11 BLK B FORD OAKS,30.17248236,-97.82620978
2015-009709 BP,R- 101 Single Family Houses,New,12704 PADUA DR,1/27/2015,"**VOL BUILD PROJECT** New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Final,4701,352575,1,LOT 10 BLK B AVANA PHS 1 SEC 1,30.17248563,-97.90782921
2015-065344 BP,R- 101 Single Family Houses,New,12705 PADUA DR,6/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4675,350625,1,LOT 12 BLK A AVANA PHS 1 SEC 1,30.17251995,-97.90729371
2015-121237 BP,R- 101 Single Family Houses,New,9401 PRIVET DR,10/7/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2421,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1725293,-97.80925624
2015-095535 BP,R- 101 Single Family Houses,New,9400 OCEAN GOING CT,8/7/2015,New 2-story Condominium Residence with attached garage and covered porch. **CONDOMINIUM RESIDENCE**,Active,2249,214990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17253258,-97.80893881
2015-150750 BP,R- 101 Single Family Houses,New,6912 TRISSINO DR,12/21/2015,"12/21/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3599,219975,1,LOT 13 BLK C AVANA PHS 2 SEC 1,30.1725573,-97.9104992
2015-150682 BP,R- 101 Single Family Houses,New,6505 TRISSINO DR,12/22/2015,"***12/22/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4598,273300,1,LOT 3 BLK B AVANA PHS 1 SEC 1,30.1725573,-97.9104992
2015-150804 BP,R- 101 Single Family Houses,New,7004 TRISSINO DR,12/22/2015,"***12/22/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4487,249825,1,LOT 11 BLK C AVANA PHS 2 SEC 1,30.1725573,-97.9104992
2015-150813 BP,R- 101 Single Family Houses,New,6904 TRISSINO DR,12/22/2015,"***12/22/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3706,249825,1,LOT 15 BLK C AVANA PHS 2 SEC 1,30.1725573,-97.9104992
2015-133462 BP,R- 101 Single Family Houses,New,12709 MUNDOMAR DR,12/4/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4293,264525,1,ABS 2159 SUR 11 CADY J D ABS 2301 SUR 43 HUDSON C W ACR 112.8073 [1-D-1W] (6.0182AC IN TRAVIS CO),30.17256099,-97.91705689
2015-089706 BP,R- 101 Single Family Houses,New,9400 PRIVET DR,7/27/2015,New 2-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,3045,244990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17258563,-97.80963122
2015-089559 BP,R- 329 Res Structures Other Than Bldg,New,4624 KNOTTINGWOOD CT,7/24/2015,Addition of a 128 sq foot deck to existing,Active,128,500,1,Lot: Block: Subdivision: CHATEAU AT ONION CREEK,30.172592,-97.763658
2015-063885 BP,R- 101 Single Family Houses,New,9310 PRIVET DR,5/29/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2406,203990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1727109,-97.80962794
2015-033342 BP,R- 101 Single Family Houses,New,9313 TANAGER WAY,3/27/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,2418,103032,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17271487,-97.80808147
2015-104240 BP,R- 329 Res Structures Other Than Bldg,New,5504 ALOMAR CV,8/31/2015,Inground swimming pool w/ req'd enclosure device for existing 1 story SF res,Active,420,40000,0,"Lot: 16 Block: D Subdivision: BERDOLL FARMS PHASE ONE, SECTION 1",30.17273146,-97.618211
2015-111714 BP,R- 330 Accessory Use to Primary,New,9415 S CHISHOLM TRL,9/16/2015,Detached storage in rear.,Active,900,47000,1,Lot: LOT 3 Block: Subdivision:,30.17288695,-97.81233964
2015-000319 BP,R- 101 Single Family Houses,New,9307 PRIVET DR,1/6/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Final,2065,95468,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17291065,-97.80928476
2015-000098 BP,R- 101 Single Family Houses,New,9309 LOST BRIDGE LN,1/6/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Final,2694,112099,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17292368,-97.80867443
2015-063883 BP,R- 101 Single Family Houses,New,9309 TANAGER WAY,5/29/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17292605,-97.8080155
2015-033359 BP,R- 101 Single Family Houses,New,9308 TANAGER WAY,3/27/2015,"New 1-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,1692,85100,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17292731,-97.80838229
2015-133467 BP,R- 101 Single Family Houses,New,6908 TRISSINO DR,11/25/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3837,287775,1,LOT 14 BLK C AVANA PHS 2 SEC 1,30.17293887,-97.91521517
