permit,address,description,lat,lon
2008-006383 BP,4804 EVANS AVE,Total demo of detached garage.,30.311071,-97.721213
2008-006384 BP,4804 EVANS AVE,Partial demo of attached deck and NW rear wall,30.311071,-97.721213
2008-006407 BP,1607 S 3RD ST,Demolish a ca. 1937 SF res. **Voided permit new permit issued refer to permit number 209-096871BP**,30.2497191,-97.7581035
2008-006593 BP,1512 BLUEBONNET LN,Demolish a ca 1926 SF res.,30.255556,-97.771924
2008-006932 BP,5511 SHOALWOOD AVE,"Demolish a ca 1956 detached garage, uncovered wood deck and small water feature to create room a for future addition to the residence.",30.330852,-97.742491
2008-007190 BP,4526 AVENUE G,Demolish a ca 1955 Detached Garage.,30.309447,-97.725763
2008-007241 BP,1400 E 13TH ST,Demolish SF res,30.274239,-97.7250679
2008-007817 BP,1141 PERRY RD,Demolish a ca 1938 sf res and a dilapidated detached shed.,30.2585154,-97.6853541
2008-009202 BP,1201 TOWN CREEK DR,"Total demolition of a ca. 1964-1992 apartment complex +100 (1313 (aka 1201) Town Creek Drive, Building #11)",30.2434739,-97.7260603
2008-009204 BP,1201 TOWN CREEK DR,"Total demolition of a ca. 1964-1992 apartment complex +100 1201 (aka 1301) Town Creek Drive, Bldg#12",30.2434739,-97.7260603
2008-009208 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 apartment complex +100 (bldg # 10),30.2434739,-97.7260603
2008-009543 BP,6401 E RIVERSIDE DR,demo existing sf residence (to be replaced with a commercial bldg) will apply for a commercial permit (See 2009 002573),30.224077,-97.702414
2008-009645 BP,2101 HOLLY ST,demo existing sf residence (See 2012-098505),30.252289,-97.72364
2008-009965 BP,2404 TOWER DR,Demolish single-family house,30.298576,-97.764
2008-009975 BP,804 E 45TH ST,"Demolish a ca. 1940 SF stucco Residence & 1-story brick bldg., storage area & carport.(AKA 806 E 45TH) **refer to pmt# 2013-051812**",30.305503,-97.720399
2008-010339 BP,1601 E 20TH ST,demo existing sf residence,30.280136,-97.7241559
2008-010715 BP,5509 WOODROW AVE,"Complete demolition of 1949 one-story single family residence **Voided Pmt Per Owner Request, Bldg Relocated instead of Demo**",30.3268615,-97.733907
2008-010726 BP,3100 E 13TH ST,Demolish a ca 1940 2 car detached garage. Dangerous and substandard structure. See code violation number 2007 - 165169.,30.277599,-97.702295
2008-010762 BP,1904 W 35TH ST,Complete demolition of 1930 one-story single family residence **refer to pmt# 2012-001945**,30.3088488,-97.7551131
2008-010769 BP,5506 AVENUE F,Complete demo of 1947 detached garage. (240 sq ft.) AND partial demo of a 12 x 12 section to the rear of the existing one-story home for the purpose of adding square footage,30.320452,-97.7196979
2008-010770 BP,5506 AVENUE F,Complete demo of 1947 detached garage. (240 sq ft.) AND partial demo of a 12 x 12 section to the rear of the existing one-story home for the purpose of adding square footage,30.320452,-97.7196979
2008-010777 BP,1601 W 29TH ST,Total demolition of a 378 sq ft detached garage (already gone),30.300989,-97.754049
2008-010786 BP,801 W JOHANNA ST,Complete demolition of detached garage,30.246305,-97.760133
2008-010793 BP,3001 LYONS RD,Complete demolition of one-story 1948 SF res. refer# 2012-104662,30.262895,-97.705748
2008-010803 BP,1612 S 3RD ST,Complete demolition of 1940 1 story SF res. **voided permit new permit issued refer to pmt 2009-109509BP**,30.24938,-97.758488
2008-011165 BP,500 W MARTIN LUTHER KING JR,Total demolition of a (Gas station-previously demolished) Re-Review of HDP-2003-0081.,30.282491,-97.743437
2008-011167 BP,5111 AIRPORT BLVD,"Demolition (partial) Commercial: North wall, west wall, east wall, roof, & portions of existing slab to allow for new footings at perimeter at a ca. 4976 fast food restaurant.",30.3127222,-97.7150371
2008-011752 BP,3700 RIVERCREST DR,VOID... per Lonnie LaBonte she will create a new PR. 2-22-08 sbenavidez. Demolish a boat dock.,30.339552,-97.814237
2008-012106 BP,65 CHICON ST,demo existing sf residence **refer to pmt# 2012-009682**,30.2540206,-97.7258897
2008-012339 BP,1308 WALNUT AVE,demo sf residence (See 2011-077958 for repermit),30.276665,-97.7127129
2008-012340 BP,1308 WALNUT AVE,demo detached storage (See 2011-077959 for repermit),30.276665,-97.7127129
2008-012341 BP,1709 E 18TH ST,(See 2012-090546)demo sf residence,30.278296,-97.722304
2008-012712 BP,1405 S REDONDO DR,Complete demolition of single family residence,30.280361,-97.682316
2008-012845 BP,718 NORWALK LN,Relocate a single family residence out of the city. 3/24/08 - Th applicant has re-activated the demolition permit for this address because the relocation contractor has looked at the foundtion of the house and it cannot be moved - I am,30.283302,-97.774833
2008-012865 BP,1707 SANCHEZ ST,See final demo permit #2011-050192BP Demolish a ca 1950 SF residence.,30.2807028,-97.7066994
2008-013444 BP,916 E 39TH ST,demolish detached garage (already gone),30.296886,-97.721236
2008-013627 BP,505 CATER DR,demo existing sf residence,30.261998,-97.763639
2008-013919 BP,810 KINNEY AVE,Demo Existing Detached Garage (refer to prior permit #9916173).,30.2588,-97.764398
2008-013930 BP,4307 MAYBELLE AVE,Demolish a ca 1934 SF res,30.312749,-97.7416159
2008-013931 BP,2521 WINSTED LN,Demolish a ca 1947 SF res,30.296804,-97.759235
2008-013934 BP,3002 BONNIE RD,Demolish a single family house,30.293114,-97.774389
2008-014177 BP,2909 CLEARVIEW DR,Demolish detached garage.,30.294892,-97.772488
2008-014239 BP,4509 RICHMOND AVE,Demolish a ca 1967 detached garage / storage building.,30.222469,-97.783225
2008-014375 BP,37 MARGRANITA CRES,"Demolish a ca 1981 Single Family Residence. Previous application expired on January 27th, 2008. 2,122 square foot.",30.299964,-97.759458
2008-014571 BP,1017 E RIVERSIDE DR,"Demolish a carport. **Voided permit New permit issued, refer to permit 2009-034554BP**",30.2491286,-97.7373906
2008-014880 BP,8540 RESEARCH BLVD SB,Total demolition of a ca. 1963 sm store <10000 sqft commercial structure (Bldg B),30.3606763,-97.7174842
2008-014999 BP,4510 RED RIVER ST,Demolish a detached garage. Refer to permit number 02002394 or permit number 2002-0747. No inspections took place and building permit expired. This permit is to officially demolish it.concrete uncvd patioand remove a portion of the dw to build a new detached garage?removed front and rear sidewalk,30.3055636,-97.7193527
2008-015084 BP,500 TILLERY ST,demo sf residence,30.255739,-97.707187
2008-015085 BP,500 TILLERY ST,demo detached garage,30.255739,-97.707187
2008-015260 BP,3314 HEMLOCK AVE,Demolish a ca 1951 Detached Garage/brick BBQ pit/concrete uncvd patio/and remove a portion of the dw to build a new detached garage?removed front and rear sidewalk,30.288717,-97.714658
2008-015433 BP,1701 STAMFORD LN,Demolish a ca 1940 Single Family Residence. (original permit number 20298 / 8-17-1940 / 1 story stucco residence with attached garage.),30.291968,-97.768955
2008-015434 BP,1701 STAMFORD LN,**ref permit#2009-135334**Demolish a detached carport. (permit number 9616427 / 11-5-1996),30.291968,-97.768955
2008-015535 BP,3700 RIVERCREST DR,demo boat dock **refer# 2014-062113***,30.339552,-97.814237
2008-015841 BP,209 E 34TH ST,Demolish a detached garage. Original demo permit expired (#06-013813 BP),30.297494,-97.733801
2008-015952 BP,713 KINNEY AVE,Demolish a ca 1955 detached garage.,30.25929,-97.763392
2008-016094 BP,828 HARRIS AVE,Demolish exst 1 story det garage.,30.293506,-97.725639
2008-016188 BP,6 GREEN LANES,Complete demolition of 1951 SF residence **refer to pmt # 09-045989**,30.290303,-97.754883
2008-016385 BP,2401 WESTOVER RD,"**ref permit#2009-032357**Change from a relocation permit (a ca. 1950 Single-Family Residence to 101 Spring Creek Road, Dripping Springs) for 2401 Westover Road to a demolition permit.",30.301446,-97.761629
2008-016439 BP,2401 WESTOVER RD,**ref permit#2009-032358**Demo Detached Garage.,30.301446,-97.761629
2008-016819 BP,1201 TOWN CREEK DR,Demo Bldg #12007)1978 OFFICE MED FOR EXP. PERMIT # 2007-155426,30.2434739,-97.7260603
2008-016820 BP,1201 TOWN CREEK DR,demo bldg # 2,30.2434739,-97.7260603
2008-016821 BP,1201 TOWN CREEK DR,demo bldg #3,30.2434739,-97.7260603
2008-016822 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 4),30.2434739,-97.7260603
2008-016823 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 5),30.2434739,-97.7260603
2008-016824 BP,1201 TOWN CREEK DR,demo bldg # 6,30.2434739,-97.7260603
2008-016825 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 7),30.2434739,-97.7260603
2008-016827 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 8); aka 1313 Town Creek Dr,30.2434739,-97.7260603
2008-016828 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 9); aka 1313 Town Creek Dr,30.2434739,-97.7260603
2008-016829 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 13); aka 1313 Town Creek Dr,30.2434739,-97.7260603
2008-016830 BP,1201 TOWN CREEK DR,Total demolition of a ca. 1964-1992 commercial structure (Building 14); aka 1313 Town Creek Dr,30.2434739,-97.7260603
2008-017661 BP,5002 DELORES AVE,demo existing sf residence,30.275229,-97.684046
2008-017928 BP,2203 S LAMAR BLVD,Total demolition of a ca. 1961 car sales (scrape entire site),30.2471157,-97.7733962
2008-018125 BP,5227 TORTUGA TRL,"Demolish a ca 1962 Single Family Residence on Lake Austin. 3,197 sq.ft.",30.334512,-97.781054
2008-018157 BP,1104 VASQUEZ ST,demo sf residence,30.230453,-97.694529
2008-018675 BP,1707 DRAKE AVE,Demolish a ca 1925 Detached Garage.,30.245631,-97.747755
2008-018716 BP,902 ETHEL ST,demo sf residence,30.258014,-97.763731
2008-018717 BP,2319 W 8TH ST,demo sf residence,30.28224,-97.77244
2008-018720 BP,1200 SPRINGDALE RD,demo sf residence,30.279402,-97.6870689
2008-018724 BP,1701 ALTA VISTA AVE,demo detached garage only,30.243821,-97.742951
2008-018727 BP,1301 HILLSIDE AVE,demo detached storage shed,30.2505106,-97.746084
2008-018797 BP,1114 E 8TH ST,Demolish a ca 1940 Single Family Residence. Demolishing the southern most house closest to East 8th Street. NOT the littler house in the back. Please refer to code violation number 08-9230CV. **refer to pmt # 2013-005396**,30.266272,-97.728752
2008-018943 BP,6901 ONION CROSSING DR,Demolish a ca 1983 badly fire damaged mobile home.,30.17543,-97.748642
2008-019063 BP,4906 RUSSET HILL DR,Previous demo permit did not final. Work was done but never recieved any inspections. This permit is to officially demolish the house. Previous permit number 94-11828. (9404413) New Construction permit number 08-9302.,30.289791,-97.672462
2008-019125 BP,5609 VINE HILL DR,Demolish a ca 1966 singlewide trailor. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.172369,-97.745343
2008-019129 BP,5406 VINE HILL DR,Demolish a ca 1973 mobile home and a detached 144 sq.ft storage shed. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.173946,-97.7488769
2008-019130 BP,5403 VINE HILL DR,Demolish a ca 1983 sf mobile home. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.17361,-97.74965
2008-019132 BP,5402 SAND HILL DR,Demolish a sf mobile home and a detached stoarge shed on blocks. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.176124,-97.747313
2008-019181 BP,5300 SAND HILL DR,Demolish a mobile home. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.176697,-97.748417
2008-019192 BP,5705 VINE HILL DR,Demolish a ca 1973 single family mobile home. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.172108,-97.744444
2008-019193 BP,5705 VINE HILL DR,Demolish the detached carport in the front of the lot. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.172108,-97.744444
2008-019194 BP,5705 VINE HILL DR,Demolish the detached building in the rear on the property. ***Part of the City of Austin's Onion Creek Voluntary Home Buyout Program***,30.172108,-97.744444
2008-019207 BP,2515 EXPOSITION BLVD,demo sf residence,30.298931,-97.766473
2008-019414 BP,2109 MELRIDGE PL,demo sf residence,30.257659,-97.7723233
2008-019415 BP,2109 MELRIDGE PL,demo sf residence (aka 2111 Melridge),30.257659,-97.7723233
2008-019982 BP,3911 AVENUE G,demo detached garage only,30.301732,-97.729969
2008-020154 BP,1204 WOODLAND AVE,demo sf resdience (See 11-005060 for repermit) AKA 1208 Woodland.,30.2421636,-97.7391435
2008-020155 BP,1204 WOODLAND AVE,demo detached garage (See 11-005061 for repermit) AKA 1208 Woodland,30.2421636,-97.7391435
2008-020486 BP,3419 N LAMAR BLVD,"Demolition (partial) Remove & Replace windows (demolition of exterior wall under windows), Remove electrical as per demolition plan at a ca. 1955 sm store <10000.",30.3031628,-97.7441208
2008-020488 BP,1705 PAYNE AVE,Demolish storage building,30.336988,-97.73312
2008-020728 BP,410 E WONSLEY DR,Demolish a decrepit detached garage. circa 1950. **ref permit#2009-001146,30.3445411,-97.7007203
2008-020911 BP,1617 WESTOVER RD,Demolition (partial) roof; replace siding; replace windows; new asphalt shingle roof; minor addition to 2nd-story bedroom (roughly 120 square feet).,30.298983,-97.756672
2008-021737 BP,405 W O DELL ST,demo sf residence court ordered,30.341199,-97.7094997
2008-021743 BP,2501 HOEKE LN,"Demolish a ca 1960 single family residence. 1,004 square foot. proeprty is part of the COA drainage repair project.",30.214182,-97.687769
2008-021865 BP,217 S LAMAR BLVD UNIT 104,Demolish a ca. 1979 Wendy's Restaurant. Re-Review of HDP-2006-0057 Administratively Approved on 2/7/2006,30.2634049,-97.7574306
2008-021867 BP,213 S LAMAR BLVD,Demolish a ca. 1959 2-4-story wood office building2006,30.263729,-97.756639
2008-021892 BP,504 E MONROE ST,Demolish a ca 1928 SF res (See 2012-042114),30.246852,-97.745938
2008-021893 BP,506 E MONROE ST,Demolish a ca 1926 SF res,30.2466403,-97.7458137
2008-022002 BP,1505 W 30TH ST,Demolish a Detached garage. See permit number 06-5231-RD. Work was never done and permit expired. **refer to pmt # 2009-000743 for demo**,30.301097,-97.752141
2008-022058 BP,2913 WESTLAKE CV,demo sf residence (re-issued org pmt #2006-010510RD),30.311505,-97.779096
2008-022209 BP,905 NALIDE ST,demo detached acc bldg to rear of lot,30.219215,-97.779872
2008-022285 BP,1201 ROMERIA DR,demo existing covered deck to the rear of sf res **Voided permit new permit issued refer to pmt 2010-040890BP**,30.331811,-97.727803
2008-022286 BP,1201 ROMERIA DR,"demo exist detached garage/wood storage/concrete patio **Voided permit, new permit issued refer to pmt 2010-040891BP**",30.331811,-97.727803
2008-022287 BP,3104 GRANDVIEW ST,"Demolish a ca 1925, 288sq.ft, detached, single story, garage.concrete patio **Voided permit, new permit issued refer to pmt 2010-040891BP**",30.300252,-97.745205
2008-022289 BP,1905 CHICON ST,demo existing sf residence (substandard lot),30.280446,-97.721155
2008-022389 BP,2303 WINDSOR RD,THIS PERMIT IS NOT TO DEMOLISH THE NEW HOUSE BEING BUILT. The demolition permit that was pulled in 2005 never received a final inspection and therefore expired. This permit is to officially demolish that house. Please refer/incorporate permit number 05000407 or AMANDA permit number 05-18499 into this permit.,30.287947,-97.755994
2008-022762 BP,2101 ELTON LN,Total demolition of the detached garage in the back of the property. 360 square foot. 1 story. circa 1939.,30.293649,-97.766084
2008-023049 BP,2510 JARRATT AVE,Demolish a ca 1956 SF res (See 2009-054095 for repermit),30.295119,-97.756926
2008-023374 BP,906 W 22ND HALF ST,demo accessory structure(on sanborn map 1935 vol-1 pg 41),30.2863285,-97.7472446
2008-023377 BP,908 W 22ND HALF ST,demo detached accessory bldg (per permit history),30.2863364,-97.7473573
2008-023411 BP,2213 ENFIELD RD,Demolish a single family house,30.287295,-97.767248
2008-023607 BP,6113 ATWOOD ST,Demolish ca 1927 SF res.,30.23918,-97.697081
2008-023608 BP,1809 RIVERVIEW ST,demo sf residence,30.251609,-97.727611
2008-023610 BP,4514 DEPEW AVE,demo sf residence,30.305332,-97.718423
2008-023611 BP,1403 W 51ST ST,demo sf residence,30.321544,-97.7378839
2008-023612 BP,1403 W 51ST ST,demo metal storage,30.321544,-97.7378839
2008-023613 BP,1403 W 51ST ST,demo wood storage,30.321544,-97.7378839
2008-023614 BP,2014 ARPDALE ST,void replace with 2008-091517PR .....demo sf residence,30.2486241,-97.777923
2008-023715 BP,9008 BALCONES CLUB DR,demo swimming pool and surrounding concrete,30.439967,-97.791663
2008-023774 BP,200 LEE BARTON DR,Demolish a 20'x14' kitchen addition; 10'x38' storage building; interior walls @ storage/office building; interior walls @ bathroom; plumbing fixtures; walls from floor to roof of 1970's dining addition.,30.2640626,-97.7567296
2008-023876 BP,2305 HORN LN,demo sf residence (See 2012-022972),30.292353,-97.764574
2008-023877 BP,2305 HORN LN,demo detached garage (See 2012-022972),30.292353,-97.764574
2008-024126 BP,2105 ENFIELD RD,demo workshop,30.2867791,-97.7656207
2008-024196 BP,2213 ENFIELD RD,partial demolition of existing pool to remove hardscape decking around the pool and disconnect utilities (the pool will not be funtional or used) a permit will required to be submitted to repair the pool and reconnect utilites. **refer to pmt # 2010-082564**,30.287295,-97.767248
2008-024474 BP,614 DENSON DR,"Demolish a circa 1951, 1 story, detached carport and garage for future detached garage/game room addition.",30.329671,-97.721405
2008-024709 BP,3703 HAWKSHEAD DR,demo swimming pool,30.413919,-97.721116
2008-025134 BP,1910 E 8TH ST,Demolish a badly fire damaged house. Built in 1925. Single Story. 852 Square foot.,30.263472,-97.72089
2008-025397 BP,1310 RADAM CIR,demo/fill swimming pool in front of house,30.214179,-97.790642
2008-025502 BP,801 BARTON SPRINGS RD,Total demolition of a ca. 1955 restaurant (already gone).,30.2587519,-97.7527709
2008-025503 BP,2907 CLEARVIEW DR,Demolish a ca 1947 Single Family Residence (864sq.ft.) and a Detached Garage (600 sq.ft.),30.294779,-97.772234
2008-025712 BP,3510 HILLBROOK DR,Demolish a ca 1963 single family house due to fire damage.,30.346602,-97.759133
2008-025716 BP,5703 VINE HILL DR,Demolish a circa 1973 mobile home,30.172194,-97.744743
2008-025717 BP,5703 VINE HILL DR,Demolish a 380 square foot wood shed,30.172194,-97.744743
2008-025718 BP,5703 VINE HILL DR,Demolish a 240 square foot wood shed,30.172194,-97.744743
2008-025721 BP,115 HAVANA ST,Demolish cr 1969 1 story sf res.,30.2321111,-97.7596482
2008-025748 BP,6900 THORNWOOD CT,"Demolish a circa 1971, 1 story, 910 square foot, single family residence.",30.173594,-97.744971
2008-025749 BP,7003 ONION CROSSING DR,"Demolish a circa 1971, 1 story, 952 square foot, single family residence.",30.173571,-97.750035
2008-026405 BP,5801 PINON VISTA DR,Demolish a single family residence. Previous demolition permit was never acted upon. See permit number 98-15258-BP,30.288717,-97.643894
2008-026406 BP,2105 MEADOWBROOK DR,"Demolish a circa 1950 single family residence. 1 story. 2,537sq.ft.",30.296456,-97.770461
2008-026607 BP,4612 ISLAND CV,Total demolition of a boat dock at a ca. 1997 single-family residence,30.332873,-97.77851
2008-026623 BP,1905 FORD ST,Demolish a single-family house (See 2010-062677 for repermit),30.253328,-97.772245
2008-026731 BP,4800 LEDESMA RD,Demolish a circa 1935 garage and covered carport.,30.273433,-97.688397
2008-026802 BP,1706 HOPI TRL,Demolish a garage appt. CIRCA 1976,30.2938862,-97.7744435
2008-026806 BP,3200 BRIDLE PATH,"Demolish a circa 1941, 1 story, 2,218 square foot, single family residence.",30.294129,-97.774431
2008-026879 BP,505 W NORTH LOOP BLVD,demo detached garage,30.319485,-97.7266
2008-026885 BP,4213 AVENUE D,Demolish half of a circa 1925 detached garage that straddles lots 4 and 5. Refer to permit number 2008-22568-RD for the other demo application for the rest of the structure. This half is about 304 square foot.,30.306476,-97.730677
2008-026899 BP,1408 S 3RD ST,Demolish a single family residence. unknown date.,30.251135,-97.757066
2008-027830 BP,4211 AVENUE D,Demolish half of a circa 1925 detached garage that straddles lots 4 and 5. Refer to permit number 2008-22567-RD for the other demo application for the rest of the structure. This half is about 320 square foot.,30.306356,-97.730754
2008-027831 BP,6812 COMANCHE TRL,"Demolish a circa 1965 single family residence. 1,304 Square foot. 1 Story. Applicant is wanting to clear the entire lot including all sheds and covered decks.",30.4121496,-97.877122
2008-027832 BP,6812 COMANCHE TRL,demo covered deck (accessory structure may not remain w/o a primary use of a sf residence,30.4121496,-97.877122
2008-027833 BP,6812 COMANCHE TRL,demo covered deck (accessory structure may not remain w/o a primary use of a sf residence,30.4121496,-97.877122
2008-027834 BP,6812 COMANCHE TRL,demo portable shed (accessory structure may not remain w/o a primary use of a single family residence),30.4121496,-97.877122
2008-027835 BP,902 SOUTH CENTER ST,Demolish a circa 1945 single family residence. 900 square foot. 1 story.,30.231516,-97.77141
2008-027836 BP,913 E 13TH ST,Demolish a detached accessory building. See code violation number 07-158899.,30.273081,-97.729176
2008-027837 BP,2315 E 11TH ST,"Demolish a circa 1925, 480 square foot, 1 story, single family residence.",30.265416,-97.716923
2008-028482 BP,7205 BETHUNE AVE,"Demolish a circa 1950 single family residence. 1,056 square foot. Single story.SMART HOUSING 100%WAIVED",30.330307,-97.697791
2008-028625 BP,1104 BELMONT PKWY,"Demolish a circa 1957, 2,666 square foot, 1 story, single family residence. (See 2013-104885)",30.300152,-97.747895
2008-028627 BP,1406 S 3RD ST,Demolish a single family residence. unknown date.,30.251232,-97.757008
2008-029028 BP,2710 TETHER TRL,"Demolish a circa 1976 single family residence. 1,780 square foot, 1 story.",30.248359,-97.792535
2008-030502 BP,616 PRESSLER ST,Total demolition of a ca. 1947 single-family residence.,30.275245,-97.759606
2008-030663 BP,615 PEACOCK LN,"Demolish a circa 1938, 1 story, 896 square foot, single family residence. (PROPERTY REQUIRES A LAND STATUS DETERMINATION APPROVAL FOR NEW CONSTRUCTION!!!) IT IS STRONGLY SUGGESTED THAT YOU CONTACT MICHAEL MARSHALL 974-3341 BEFORE YOU DEMO!!!!!!!!",30.2350309,-97.7661864
2008-030664 BP,310 E 43RD ST,DEMO DETACHED CARPORT,30.305447,-97.727216
2008-030665 BP,2505 STRATFORD DR,This demolition permit is to re permit 07-159832. The demolition permit never received a final inspection and therefore expired.,30.275038,-97.778211
2008-030666 BP,1902 ROSEWOOD AVE,"Demolish a circa 1927, 1 story, 1,612 square foot, single family residence. (HABS required per Steve Sadowsky); ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.270035,-97.7187639
2008-030889 BP,1804 FORT VIEW RD,demo sf residence,#N/A,#N/A
2008-030890 BP,1804 FORT VIEW RD,demo detached garage and uncvd flat concrete work,#N/A,#N/A
2008-031040 BP,4611 RAMSEY AVE,"Demolish a detached garage, circa 1941.",30.318169,-97.741912
2008-031050 BP,1409 W 10TH ST,demo detached garage,30.2779226,-97.7582008
2008-031085 BP,304 W 4TH ST,Demolition (partial) of whole building retaining facade at a ca. 1914 NIGHT CLUB/BAR **refer to pmt# 2013-101402**,30.267282,-97.746274
2008-031495 BP,7210 FIREFLY DR,"Demlish a circa 1980, 1,302 square foot, 1 story , single family residence",30.171362,-97.746168
2008-031496 BP,7210 FIREFLY DR,Demolish a 204 square foot detached storage shed.,30.171362,-97.746168
2008-031504 BP,7104 FIREFLY DR,"Demolish a circa 1980, 1,051 square foot, 1 story, single family residence.",30.170403,-97.7452324
2008-031509 BP,7201 GLOWWORM CIR,"Demolish a circa 1979, 1,874 square foot, 2 story single family residence.",30.170865,-97.745296
2008-031522 BP,7201 GLOWWORM CIR,"VOID - duplicate permit created. Demolish a circa 1979, 1,874 square foot, 2 story single family residence.",30.170865,-97.745296
2008-031523 BP,7201 GLOWWORM CIR,Demolish Shed,30.170865,-97.745296
2008-031524 BP,7201 GLOWWORM CIR,Demolish Shed,30.170865,-97.745296
2008-031527 BP,7106 FIREFLY DR,"Demolish a circa 1980, 988 square foot, 1 story, single family residence.",30.170522,-97.7453463
2008-031529 BP,7203 FIREFLY DR,"Demolish a circa 1979, 1,071 square foot, 1story, single family residence.",30.170423,-97.745941
2008-031531 BP,7218 FIREFLY DR,"Demolish a circa 1979, 1,260 square foot, 2 story, single family residence.",30.171766,-97.746836
2008-031534 BP,7232 FIREFLY DR,"Demolish a circa 1979, 1,271 square foot, 1 story, single family residence.",30.171711,-97.748112
2008-031536 BP,5501 VINE HILL DR,"Demolish a circa 1969, 1,598 square foot, single story, single family residence.",30.173262,-97.748446
2008-031540 BP,7201 FIREFLY DR,"Demolish a circa 1979, 1,062, 1 story, single family residence.",30.170307,-97.745828
2008-031759 BP,3215 N IH 35 SVRD NB,"Demolish a circa 1940, 1 story, 1,116 square foot, single family residence.",30.2253289,-97.7457059
2008-031844 BP,4810 LEDESMA RD,Demolish detached garage,30.273181,-97.687778
2008-031955 BP,2007 E 7TH ST,Total demolition of a ca. 1971 office (small),30.2619045,-97.7204801
2008-031957 BP,1801 E 51ST ST,"Total demolition of a structure of unknown date of construction (a structure that TCAD states that it has ""0"" living area) at 1801 18th Street, East, Building # 2492.",30.3014868,-97.699718
2008-031986 BP,1801 E 51ST ST,"Total demolition of a structure of unknown date of construction (a structure that TCAD states that it has ""0"" living area) at 1801 18th Street, East, Building # 2496 (aka 4101 Airport Boulevard).",30.3014868,-97.699718
2008-031998 BP,3400 N IH 35 SVRD SB,"Demolition 19 Bldgs (Harms Hall, Maintenance, Private Residences, Woltman Center, Founders Library, Support Services, Peter Center, Studtmann Hall, Karmer Hall, College Central/ADP, Hirschi Hall, Birkmann Chapel, Beto Academic Center, Kilian Hall, Bokenkamp Student Center, Texas Hall, Behnken Hall, White Hall, Central Plant",30.2238106,-97.7466126
2008-032973 BP,3208 EXPOSITION BLVD,"Total demolition of a structure of unknown date of construction (a structure that TCAD states that it has ""0"" living area) at Commercial structure at 3208 Exposition Boulevard.",30.3086159,-97.7638721
2008-033090 BP,4004 SIERRA DR,"Demolish a circa 1962, 2,248 square foot, 1 story, single family residence. **Voided permit new permit issued refer to pmt 2009-068194BP**",30.35431,-97.767525
2008-033148 BP,2106 EAST SIDE DR,"Demolish a circa 1939, 680 square foot, 1 story, single family house AND DEMOLISH a circa 1939 detached garage (1 story, 320 square foot) Demolishing the 2 structures closest to Eastside Drive... NOT demolishing the structure closest to Brooklyn Street. Bryan Walker.",30.2409027,-97.747813
2008-033551 BP,2604 STRATFORD DR,Demolish a circa 1981 single family residence.,30.277867,-97.779627
2008-033552 BP,1108 S 5TH ST,Re-permitting demolition permit number 07-0179 because the permit expired. House already gone.,30.254797,-97.758304
2008-033553 BP,200 W NORTH LOOP BLVD,"Demolish a circa 1950, 720 square foot, 1 story residence AND a 234 square foot detached garage.",30.3183207,-97.7235171
2008-033554 BP,200 W NORTH LOOP BLVD,demo detached garage,30.3183207,-97.7235171
2008-033555 BP,4602 GONZALES ST,"Demolish a circa 1946, 626 square foot, single family residence and a 440 square foot detached garage.",30.257105,-97.700465
2008-033556 BP,4602 GONZALES ST,detached garage,30.257105,-97.700465
2008-033557 BP,2015 OXFORD AVE,Demolish a circa 1927 detached garage. 234 square foot.,30.249884,-97.77052
2008-033558 BP,2015 OXFORD AVE,created in error-dupliate record. void. 5-7-08sbenavidez.,30.249884,-97.77052
2008-033559 BP,1113 STOBAUGH ST,"Demolish a circa 1947 single family residence, detached garage, and all remaining sheds.",30.3483875,-97.7179455
2008-033560 BP,1113 STOBAUGH ST,demo storage shed (to the side of the sf residence),30.3483875,-97.7179455
2008-033561 BP,1113 STOBAUGH ST,demo storage shed (to the rear of the proerpty),30.3483875,-97.7179455
2008-033562 BP,1113 STOBAUGH ST,demo detached garage and attached wood building,30.3483875,-97.7179455
2008-033746 BP,1131 POQUITO ST,withdrawn-reapplied under #2008-33579RD. sbenavidez 5-5-08.,30.267497,-97.716757
2008-033747 BP,1131 POQUITO ST,demo detached garage,30.267497,-97.716757
